five tags	[files/Many tags/]
tag	[files/New Hampshire/]
two tags	[files/Many tags/]
eggplant	[files/NJ/]
Tag B	[files/test-card/, files/test-card/, files/test-card/, files/test-card/]
Tags	[files//]
washington	[files/Washington/, ./files/Washington/]
connecticut	[files/New Hampshire/]
six tags,	[files/Many tags/]
seattle	[files/Washington/, ./files/Washington/]
four tags	[files/Many tags/]
concord	[files/New Hampshire/]
horsemen	[files/Fighting Irish/]
boring	[files/Wyoming/, ./files/Wyoming/]
ac	[files/uploadtest/, ./files/uploadtest/]
three tags	[files/Many tags/]
Here	[files//]
rain	[./files/Washington/]
one tag	[files/Many tags/]
hookers	[files/Fighting Irish/]
